"country","lat","lon"
"Russia",61.52401,105.318756
"Azerbaijan",40.143105,47.576927
"Peru",-9.189967,-75.015152
"Cote d'Ivoire",7.539989,-5.54708
"Ghana",7.946527,-1.023194
"Mali",17.570692,-3.996166
"Burkina Faso",12.238333,-1.561593
"Benin",9.30769,2.315834
"Senegal",14.497401,-14.452362
"Togo",8.619543,0.824782
"Niger",17.607789,8.081666
"Colombia",4.570868,-74.297333
"Ecuador",-1.831239,-78.183406
"Italy",41.87194,12.56738
"France",46.227638,2.213749
"United Kingdom",55.378051,-3.435973
"Switzerland",46.818188,8.227512
"Cyprus",35.126413,33.429859
"Spain",40.463667,-3.74922
"Egypt",26.820553,30.802498
"Sweden",60.128161,18.643501
"Finland",61.92411,25.748151
"Norway",60.472024,8.468946
"United States",37.09024,-95.712891
"Philippines",12.879721,121.774017
"United Arab Emirates",23.424076,53.847818
"Brazil",-14.235004,-51.92528
"Gambia",13.443182,-15.310139
"Guinea",9.945587,-9.696645
"Cameroon",7.369722,12.354722
"Sierra Leone",8.460555,-11.779889
"Nigeria",9.081999,8.675277
"Guinea-Bissau",11.803749,-15.180413
"Liberia",6.428055,-9.429499
"Canada",56.130366,-106.346771
"Djibouti",11.825138,42.590275
"Somalia",5.152149,46.199616
"Kenya",-0.023559,37.906193
"Thailand",15.870032,100.992541
"Australia",-25.274398,133.775136
"China",35.86166,104.195397
"Hong Kong",22.396428,114.109497
"Japan",36.204824,138.252924
"Malaysia",4.210484,101.975766
"Cambodia",12.565679,104.990963
"Burma",21.913965,95.956223
"Vietnam",14.058324,108.277199
"Singapore",1.352083,103.819836
"Taiwan",23.69781,120.960515
"Germany",51.165691,10.451526
"Austria",47.516231,14.550072
"Croatia",45.1,15.2
"Bahamas",25.03428,-77.39628
"Netherlands",52.132633,5.291266
"Belgium",50.503887,4.469936
"Morocco",31.791702,-7.09262
"Turkey",38.963745,35.243322
"Aruba",12.52111,-69.968338
"Netherlands Antilles",12.2018902,-68.2623822
"Venezuela",6.42375,-66.58973
"Uzbekistan",41.377491,64.585262
"Montenegro",42.708678,19.37439
"Antigua and Barbuda",17.060816,-61.796428
"French Guiana",3.933889,-53.125782
"Dominica",15.414999,-61.370976
"Martinique",14.641528,-61.024174
"Guadeloupe",16.265,-61.551
"Dominican Republic",18.735693,-70.162651
"Saint Lucia",13.909444,-60.978893
"Northern Mariana Islands",15.0979,145.6739
"Israel",31.046051,34.851612
"Bangladesh",23.684994,90.356331
"India",20.593684,78.96288
"Saudi Arabia",23.885942,45.079162
"Nepal",28.394857,84.124008
"Oman",21.512583,55.923255
"Argentina",-38.416097,-63.616672
"Mexico",23.634501,-102.552784
"Afghanistan",33.93911,67.709953
"Pakistan",30.375321,69.345116
"Serbia",44.016521,21.005859
"Macedonia",41.608635,21.745275
"Algeria",28.033886,1.659626
"Greece",39.074208,21.824312
"Hungary",47.162494,19.503304
"Ireland",53.41291,-8.24389
"Portugal",39.399872,-8.224454
"Poland",51.919438,19.145136
"Czech Republic",49.817492,15.472962
"Bosnia and Herzegovina",43.915886,17.679076
"Tunisia",33.886917,9.537499
"Panama",8.537981,-80.782127
"Costa Rica",9.748917,-83.753428
"Nicaragua",12.865416,-85.207229
"South Sudan",6.8769919,31.3069788
"Tanzania",-6.369028,34.888822
"Brunei",4.535277,114.727669
"Indonesia",-0.789275,113.921327
"Macau",22.198745,113.543873
"South Korea",35.907757,127.766922
"Saint Kitts and Nevis",17.357822,-62.782998
"Chile",-35.675147,-71.542969
"Paraguay",-23.442503,-58.443832
"Uruguay",-32.522779,-55.765835
"Belize",17.189877,-88.49765
"Guatemala",15.783471,-90.230759
"Honduras",15.199999,-86.241905
"South Africa",-30.559482,22.937506
"Georgia",32.1656221,-82.9000751
"Denmark",56.26392,9.501785
"Armenia",40.069099,45.038189
"Latvia",56.879635,24.603189
"Jamaica",18.109581,-77.297508
"Haiti",18.971187,-72.285215
"Suriname",3.919305,-56.027783
"Trinidad and Tobago",10.691803,-61.222503
"Kazakhstan",48.019573,66.923684
"Tajikistan",38.861034,71.276093
"Kyrgyzstan",41.20438,74.766098
"Iran",32.427908,53.688046
"Ukraine",48.379433,31.16558
"Libya",26.3351,17.228331
"Jordan",30.585164,36.238414
"Anguilla",18.220554,-63.068615
"Puerto Rico",18.220833,-66.590149
"British Virgin Islands",18.420695,-64.639968
"Virgin Islands",18.335765,-64.896335
"Turks and Caicos Islands",21.694025,-71.797928
"Moldova",47.411631,28.369885
"Romania",45.943161,24.96676
"Bahrain",26.0667,50.5577
"Sri Lanka",7.873054,80.771797
"Qatar",25.354826,51.183884
"Kuwait",29.31166,47.481766
"Bulgaria",42.733883,25.48583
"Albania",41.153332,20.168331
"Bolivia",-16.290154,-63.588653
"Uganda",1.373333,32.290275
"New Zealand",-40.900557,174.885971
"Bermuda",32.3078,-64.7505
"Barbados",13.193887,-59.543198
"Cayman Islands",19.3133,-81.2546
"Gibraltar",36.140751,-5.353585
"Grenada",12.1165,-61.679
"Luxembourg",49.815273,6.129583
"Fiji",-17.713371,178.065032
"French Polynesia",-17.679742,-149.406843
"El Salvador",13.794185,-88.89653
"Guernsey",49.465691,-2.585278
"Jersey",49.214439,-2.13125
"Malta",35.937496,14.375416
"Cuba",21.521757,-77.781167
"Ethiopia",9.145,40.489673
"Burundi",-3.373056,29.918886
"Congo (Kinshasa)",-4.038333,21.758664
"Rwanda",-1.940278,29.873888
"Angola",-11.202692,17.873887
"Lithuania",55.169438,23.881275
"Lebanon",33.854721,35.862285
"Central African Republic",6.611111,20.939444
"Congo (Brazzaville)",-4.267778,15.291944
"Mayotte",-12.8275,45.166244
"Comoros",-11.6455,43.3333
"Zimbabwe",-19.015438,29.154857
"Gabon",-0.803689,11.609444
"Slovenia",46.151241,14.995463
"Malawi",-13.254308,34.301525
"Laos",19.85627,102.495496
"Zambia",-13.133897,27.849332
"Mauritius",-20.348404,57.552152
"Chad",15.454166,18.732207
"Mauritania",21.00789,-10.940835
"Palau",7.51498,134.58252
"Reunion",-21.115141,55.536384
"Equatorial Guinea",1.650801,10.267895
"Madagascar",-18.766947,46.869107
"Maldives",1.977247,73.5361034
"Western Sahara",24.215527,-12.885834
"Iceland",64.963051,-19.020835
"Belarus",53.709807,27.953389
"Estonia",58.595272,25.013607
"Sudan",12.862807,30.217636
"Seychelles",-4.679574,55.491977
"Turkmenistan",38.969719,59.556278
"Isle of Man",54.236107,-4.548056
"Namibia",-22.95764,18.49041
"Botswana",-22.328474,24.684866
"Guam",13.444304,144.793731
"Guyana",4.860416,-58.93018
"Korea",35.907757,127.766922
"Mongolia",46.862496,103.846656
"Papua New Guinea",-6.314993,143.95555
"Slovakia",48.669026,19.699024
"Sao Tome and Principe",0.18636,6.613081
"Iraq",33.223191,43.679291
"Yemen",15.552727,48.516388
"Mozambique",-18.665695,35.529562
"Samoa",-13.759029,-172.104629
"Kiribati",1.8709185,-157.3626011
"Tuvalu",-7.4784418,178.6799214
"Solomon Islands",-9.64571,160.156194
"Tonga",-21.178986,-175.198242
"Vanuatu",-15.376706,166.959158
"Greenland",71.706936,-42.604303
"Cook Islands",-21.236736,-159.777671
"American Samoa",-14.306407,-170.6961909
"Cape Verde",15.120142,-23.6051721
"Eritrea",15.179384,39.782334
"Bhutan",27.514162,90.433601
"Falkland Islands",-51.796253,-59.523613
"Saint Vincent and the Grenadines",13.2528179,-61.1971628
"East Timor",-8.874217,125.727539
"New Caledonia",-20.904305,165.618042
"Niue",-19.054445,-169.867233
"Norfolk Island",-29.040835,167.954712
"Nauru",-0.522778,166.931503
"Marshall Islands",6.0683936,171.989379
"Saint Pierre and Miquelon",46.8852,-56.3159
"Faroe Islands",61.892635,-6.911806
"Lesotho",-29.609988,28.233608
"Swaziland",-26.522503,31.465866
"Wallis and Futuna",-14.2938,-178.1165
"Micronesia",6.8874813,158.2150717
"Cocos (Keeling) Islands",-12.1708739,96.8417392
"Christmas Island",-10.447525,105.690449
"Monaco",43.7384176,7.4246158
